type,startTime,sport_time,max_pace,min_pace,distance(m),avg_pace,calories
6,2023-10-31 07:24:21+0000,3478,3.52625,0.37452123,4384.0,0.793,549.0
24,2023-10-31 06:26:22+0000,1886,0.0,0.0,0.0,0.0,165.0
24,2023-10-27 05:15:30+0000,2536,0.0,0.0,0.0,0.0,262.0
24,2023-10-25 05:16:02+0000,1817,0.0,0.0,0.0,0.0,161.0
6,2023-10-24 16:34:40+0000,5081,1.3362458,0.576412,7461.0,0.68,909.0
24,2023-10-24 05:14:43+0000,1766,0.0,0.0,0.0,0.0,158.0
24,2023-10-20 05:06:28+0000,1899,0.0,0.0,0.0,0.0,166.0
24,2023-10-18 05:07:48+0000,1944,0.0,0.0,0.0,0.0,168.0
6,2023-10-17 16:44:42+0000,3422,2.7081325,0.45943508,5557.0,0.615,518.0
24,2023-10-17 05:05:30+0000,1829,0.0,0.0,0.0,0.0,171.0
6,2023-10-14 07:43:51+0000,3588,1.5956597,0.54557574,6121.0,0.586,547.0
24,2023-10-14 07:19:32+0000,1418,0.0,0.0,0.0,0.0,110.0
6,2023-10-12 09:35:22+0000,4939,1.6976023,0.40027723,7507.0,0.657,685.0
24,2023-10-12 08:52:28+0000,1888,0.0,0.0,0.0,0.0,154.0
6,2023-10-10 16:17:32+0000,4980,2.0894997,0.46128744,7492.0,0.664,525.0
24,2023-10-10 05:10:51+0000,1965,0.0,0.0,0.0,0.0,131.0
6,2023-10-09 07:22:53+0000,1797,1.7740136,0.39188284,2944.0,0.61,283.0
6,2023-10-09 06:02:11+0000,2012,1.3013887,0.5170151,2959.0,0.679,291.0
6,2023-10-06 17:12:35+0000,4947,1.538008,0.50052524,7497.0,0.659,161.0
6,2023-09-30 17:50:10+0000,3245,1.2141443,0.36321342,5644.0,0.574,558.0
24,2023-09-29 05:06:35+0000,1988,0.0,0.0,0.0,0.0,158.0
6,2023-09-28 17:37:16+0000,5120,4.813296,0.52980626,7524.0,0.68,978.0
24,2023-09-28 05:08:53+0000,1895,0.0,0.0,0.0,0.0,149.0
6,2023-09-27 17:25:13+0000,5046,1.8339473,0.5766758,7476.0,0.674,16.0
24,2023-09-27 05:08:54+0000,2022,0.0,0.0,0.0,0.0,195.0
6,2023-09-26 17:28:27+0000,5346,2.1095328,0.3922332,7492.0,0.713,820.0
24,2023-09-26 05:10:32+0000,1810,0.0,0.0,0.0,0.0,152.0
6,2023-09-25 06:31:16+0000,4601,1.1326288,0.38852707,7984.0,0.576,805.0
24,2023-09-25 05:58:57+0000,1824,0.0,0.0,0.0,0.0,143.0
6,2023-09-24 08:25:49+0000,4968,3.9928336,0.4255348,7611.0,0.652,816.0
24,2023-09-24 07:01:25+0000,1944,0.0,0.0,0.0,0.0,158.0
6,2023-09-22 16:13:43+0000,4386,2.4043307,0.45011857,7508.0,0.584,780.0
24,2023-09-22 05:12:43+0000,2049,0.0,0.0,0.0,0.0,238.0
6,2023-09-21 16:59:35+0000,4809,5.5268016,0.53326225,7489.0,0.642,719.0
24,2023-09-21 05:08:40+0000,2206,0.0,0.0,0.0,0.0,188.0
24,2023-09-20 05:07:16+0000,1884,0.0,0.0,0.0,0.0,157.0
6,2023-09-19 17:39:24+0000,2516,8.278038,0.39348948,3841.0,0.655,344.0
